imvl_type,listing.address.state,listing.backyard,listing.barbgrill,listing.bathrooms,listing.bathtub,listing.bedrooms,listing.fireplace,listing.furnished,listing.garden,listing.guestpark,listing.gym,listing.hottub,listing.parkingSpaces,listing.partyhall,listing.playground,listing.pool,listing.pricingInfo.monthlyCondoFee,listing.pricingInfo.salePrice,listing.pricingInfo.yearlyIptu,listing.sauna,listing.sportcourt,listing.suites,listing.tenniscourt,listing.usableAreas
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,,611.418,,False,False,3,False,79101
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,,618.822,,False,False,3,False,79101
apartamentos,rn,False,False,23,False,23,False,False,False,False,False,False,12,False,False,False,,354.240,,False,False,13,False,59141
apartamentos,rn,False,True,2,False,3,False,False,True,False,False,False,2,True,True,True,300,220.000,1.335,False,True,0,False,89
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,1,False,False,False,,600.000,,False,False,2,False,98
apartamentos,rn,False,True,2,False,2,False,True,True,False,False,False,1,True,True,True,440,360.000,1.450,False,False,1,False,56
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,358,290.000,,False,True,1,False,57
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,418,280.000,1.400,False,True,1,False,54
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,,400.000,,False,False,1,False,130
apartamentos,rn,False,False,1,False,3,False,False,False,False,False,False,,False,False,False,,150.000,,False,False,,False,84
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,320,300.000,1.500,False,True,1,False,54
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,2,False,False,False,,170.000,,False,False,1,False,65
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,295,290.000,,False,True,1,False,56
apartamentos,rn,False,True,2,False,2,False,True,True,False,True,False,1,True,True,True,540,435.000,1.900,False,True,1,False,59
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,2,True,True,True,350,245.000,,False,True,1,True,56
apartamentos,rn,False,True,3,False,3,False,False,True,False,False,False,2,True,True,True,590,499.000,3.000,False,False,1,False,94
apartamentos,rn,False,True,3,False,3,False,False,True,True,True,False,2,True,True,True,600,749.900,2.800,False,False,1,False,101
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,550,710.000,2.980,False,True,1,False,90
apartamentos,rn,False,True,3,False,3,False,False,False,False,True,False,2,True,False,True,554,320.000,1.900,False,False,1,False,74
apartamentos,rn,False,True,2,False,2,False,False,True,False,False,False,2,True,False,True,350,250.000,,False,True,1,False,57
apartamentos,rn,False,False,4,False,3,False,False,False,False,False,False,2,False,False,False,910,630.000,2.500,False,False,3,False,96
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,680,415.000,2.200,False,True,2,False,80
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,3,True,False,True,1.000,425.000,4.200,False,False,2,False,110
apartamentos,rn,False,True,4,False,3,False,False,False,False,True,False,2,True,True,True,,645.000,,False,False,3,False,103
apartamentos,rn,False,True,3,False,3,False,False,False,False,False,False,2,False,True,True,635,330.000,,False,True,,False,98
apartamentos,rn,False,False,4,False,4,False,False,False,False,False,False,2,True,False,False,,420.000,,False,False,2,False,186
apartamentos,rn,False,True,4,False,4,False,False,False,False,True,False,2,True,True,True,,728.000,,True,True,2,False,109
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,False,True,True,,126.900,,False,False,,False,68
apartamentos,rn,False,False,1,False,2,False,False,False,False,False,False,0,False,False,True,200,130.000,,False,False,1,False,57
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,1,False,False,False,1,334.000,1,False,False,1,False,56
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,3,True,False,True,650,739.999,3.000,False,True,2,False,103
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,1,True,True,False,360,181.000,,False,True,1,False,76
apartamentos,rn,False,True,3,False,3,False,True,False,False,False,False,2,True,False,True,660,689.000,,False,False,1,False,92
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,False,False,True,600,480.000,2.900,False,False,1,False,87
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,1,False,False,False,1,209.000,1,False,False,1,False,90
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,False,False,False,550,260.000,1.800,False,False,1,False,110
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,880,774.376,,False,False,2,False,88
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,550,525.000,3.000,False,True,1,False,95
apartamentos,rn,False,True,2,False,3,False,True,True,False,True,False,2,True,True,True,670,620.000,,True,True,1,True,79
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,450,560.000,2.500,False,True,1,False,98
apartamentos,rn,False,False,3,False,2,False,False,False,False,False,False,2,False,False,True,550,480.000,3.500,False,False,2,False,88
apartamentos,rn,False,True,1,False,2,False,False,False,False,False,False,1,False,True,False,,136.900,,False,False,,False,54
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,2,True,True,True,350,220.000,1.400,False,True,1,True,58
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,500,165.000,1,False,False,1,False,72
apartamentos,rn,False,False,4,False,3,False,False,False,False,False,False,2,False,False,True,600,450.000,3.000,False,False,3,False,95
apartamentos,rn,False,True,4,False,3,False,False,False,False,False,False,2,False,True,True,900,475.000,2.500,False,False,3,False,97
apartamentos,rn,False,True,2,False,2,False,False,False,False,True,False,1,True,True,True,,400.000,,False,False,1,False,55
apartamentos,rn,False,True,2,False,3,False,False,True,False,False,False,1,True,True,True,1,249.900,1,False,False,1,False,78
apartamentos,rn,False,False,4,False,3,False,False,False,False,True,False,2,True,True,False,915,630.000,2.800,False,False,2,False,100
apartamentos,rn,False,True,3,False,3,False,False,False,False,True,False,2,True,True,True,551,320.000,,False,False,1,False,75
apartamentos,rn,False,True,6,False,4,False,False,True,False,True,False,5,True,True,True,1.825,780.000,6.600,False,True,4,False,258
apartamentos,rn,False,True,1,False,2,False,True,True,False,True,False,1,True,True,True,325,215.000,1.250,False,True,0,False,49
apartamentos,rn,False,True,2,False,3,False,False,False,False,True,False,2,True,True,True,600,530.000,2.526,False,True,1,False,82
apartamentos,rn,False,True,3,False,3,False,False,False,True,True,False,2,False,True,True,550,330.000,1.900,False,False,1,False,72
