bathrooms,parkingSpaces,suites,monthlyCondoFee,usableAreas,bedrooms,backyard,barbgrill,bathtub,fireplace,furnished,garden,guestpark,gym,hottub,partyhall,playground,pool,sauna,sportcourt,tenniscourt,imvl_type,address.region,salePrice
2,2,1,1200,117,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,apartamentos,Sudeste,449000
3,2,1,680,90,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,600000
4,3,3,1100,216,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,1680000
4,3,3,1382,139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,985000
3,2,1,680,90,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,580000
2,2,1,800,100,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,apartamentos,Sudeste,355000
3,2,1,1382,150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,350000
3,1,1,684,74,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,390000
2,1,1,617,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,535000
1,1,1,350,51,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,apartamentos,Sul,130000
4,3,3,1497,202,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,apartamentos,Sudeste,2300000
4,2,3,980,157,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,650000
2,1,1,120,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,260000
1,0,0,600,40,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,apartamentos,Sudeste,450000
4,4,3,3862,373,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,840000
1,2,1,780,97,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,apartamentos,Sul,680000
2,2,1,1051,97,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,790000
